# evals, best
1.020000000000000000e+02,2.052232651428634673e+07
1.530000000000000000e+02,1.978523146684876457e+07
2.040000000000000000e+02,1.863427219366052747e+07
3.060000000000000000e+02,1.810973026500827074e+07
4.080000000000000000e+02,1.784233177730712295e+07
4.590000000000000000e+02,1.763697872746296227e+07
5.100000000000000000e+02,1.755515071896675974e+07
5.610000000000000000e+02,1.743909256558798254e+07
6.120000000000000000e+02,1.734498935452150926e+07
6.630000000000000000e+02,1.727779227393607423e+07
7.650000000000000000e+02,1.724296386809898913e+07
8.160000000000000000e+02,1.723535145296302810e+07
8.670000000000000000e+02,1.722249936641272902e+07
9.180000000000000000e+02,1.721800365312859043e+07
9.690000000000000000e+02,1.721074163753805682e+07
1.020000000000000000e+03,1.720172793311736733e+07
1.071000000000000000e+03,1.719185072521049157e+07
1.122000000000000000e+03,1.718316305522893369e+07
1.173000000000000000e+03,1.717358069191342965e+07
1.224000000000000000e+03,1.716067351937856898e+07
1.275000000000000000e+03,1.713697135100146383e+07
1.326000000000000000e+03,1.709633814604387432e+07
1.377000000000000000e+03,1.702255695574519038e+07
1.428000000000000000e+03,1.688946496734742075e+07
1.479000000000000000e+03,1.665243843556980416e+07
1.530000000000000000e+03,1.622850984215036035e+07
1.581000000000000000e+03,1.549467637421230599e+07
1.632000000000000000e+03,1.416075480550845340e+07
1.683000000000000000e+03,1.198720748648186028e+07
1.734000000000000000e+03,9.809284023770950735e+06
1.785000000000000000e+03,7.318035923711868003e+06
1.887000000000000000e+03,6.228137492272869684e+06
1.989000000000000000e+03,5.729003961781056598e+06
2.091000000000000000e+03,5.573523581325482577e+06
2.142000000000000000e+03,5.448116350147499703e+06
2.193000000000000000e+03,5.249747631683731452e+06
2.244000000000000000e+03,4.892887822097977623e+06
2.295000000000000000e+03,4.290346161914573982e+06
2.346000000000000000e+03,3.291259265764028300e+06
2.397000000000000000e+03,2.032834145365501754e+06
2.499000000000000000e+03,1.533124239542092662e+06
2.601000000000000000e+03,1.288229470620503183e+06
2.652000000000000000e+03,9.869222838495466858e+05
2.703000000000000000e+03,5.908899844543728977e+05
2.754000000000000000e+03,1.339496539203365683e+05
2.856000000000000000e+03,5.872642963845783379e+04
2.958000000000000000e+03,3.561094771159968514e+04
3.009000000000000000e+03,2.207535216301381661e+04
3.060000000000000000e+03,4.614580374910586215e+03
3.162000000000000000e+03,1.939081358274222112e+03
3.264000000000000000e+03,6.683564809745231514e+02
3.366000000000000000e+03,1.858014806961039866e+01
3.468000000000000000e+03,4.684399528428641046e-01
3.570000000000000000e+03,5.739794316915820815e-02
3.621000000000000000e+03,8.543582299364992083e-03
3.672000000000000000e+03,2.152417092372954557e-03
3.723000000000000000e+03,4.801078334942704857e-05
3.774000000000000000e+03,5.895278523498828960e-07
3.825000000000000000e+03,8.806047518944299287e-10
3.876000000000000000e+03,2.299831113415556797e-10
3.927000000000000000e+03,2.258961134009014479e-10
