# evals, best
2.000000000000000000e+02,2.500871093950551376e+07
4.000000000000000000e+02,1.780625436693955958e+07
6.000000000000000000e+02,1.094964047482639737e+07
8.000000000000000000e+02,8.667643775571446866e+06
1.000000000000000000e+03,8.667643775571446866e+06
1.200000000000000000e+03,8.667643775571446866e+06
1.400000000000000000e+03,8.667643775571446866e+06
1.600000000000000000e+03,8.667643775571446866e+06
1.800000000000000000e+03,8.438569254922369495e+06
2.000000000000000000e+03,8.438569254922369495e+06
2.200000000000000000e+03,8.438569254922369495e+06
2.400000000000000000e+03,8.438569254922369495e+06
2.600000000000000000e+03,8.438569254922369495e+06
2.800000000000000000e+03,8.438569254922369495e+06
3.000000000000000000e+03,8.438569254922369495e+06
3.200000000000000000e+03,8.438569254922369495e+06
3.400000000000000000e+03,8.438569254922369495e+06
3.600000000000000000e+03,6.885665101272162981e+06
3.800000000000000000e+03,5.135913208024516702e+06
4.000000000000000000e+03,5.135913208024516702e+06
4.200000000000000000e+03,5.135913208024516702e+06
4.400000000000000000e+03,5.053893481439193711e+06
4.600000000000000000e+03,4.276684364384377375e+06
4.800000000000000000e+03,3.977347449507248122e+06
5.000000000000000000e+03,2.807262892850918695e+06
5.200000000000000000e+03,2.807262892850918695e+06
5.400000000000000000e+03,2.807262892850918695e+06
5.600000000000000000e+03,2.807262892850918695e+06
5.800000000000000000e+03,2.807262892850918695e+06
6.000000000000000000e+03,2.444230265955602285e+06
6.200000000000000000e+03,2.444230265955602285e+06
6.400000000000000000e+03,2.444230265955602285e+06
6.600000000000000000e+03,2.444230265955602285e+06
6.800000000000000000e+03,2.444230265955602285e+06
7.000000000000000000e+03,2.444230265955602285e+06
7.200000000000000000e+03,1.917980581304516876e+06
7.400000000000000000e+03,1.332504217183468398e+06
7.600000000000000000e+03,1.332504217183468398e+06
7.800000000000000000e+03,1.332504217183468398e+06
8.000000000000000000e+03,1.332504217183468398e+06
8.200000000000000000e+03,1.332504217183468398e+06
8.400000000000000000e+03,1.332504217183468398e+06
8.600000000000000000e+03,1.262930999016841175e+06
8.800000000000000000e+03,6.342281362820211798e+05
9.000000000000000000e+03,6.342281362820211798e+05
9.200000000000000000e+03,6.342281362820211798e+05
9.400000000000000000e+03,6.342281362820211798e+05
9.600000000000000000e+03,6.342281362820211798e+05
9.800000000000000000e+03,6.342281362820211798e+05
1.000000000000000000e+04,6.342281362820211798e+05
1.020000000000000000e+04,5.671246445518562105e+05
1.040000000000000000e+04,5.671246445518562105e+05
1.060000000000000000e+04,5.331344201924212975e+05
1.080000000000000000e+04,5.331344201924212975e+05
1.100000000000000000e+04,4.030348541528227506e+05
1.120000000000000000e+04,4.030348541528227506e+05
1.140000000000000000e+04,4.030348541528227506e+05
1.160000000000000000e+04,4.030348541528227506e+05
1.180000000000000000e+04,4.030348541528227506e+05
1.200000000000000000e+04,4.030348541528227506e+05
1.220000000000000000e+04,3.514763368818068411e+05
1.240000000000000000e+04,3.514763368818068411e+05
1.260000000000000000e+04,3.514763368818068411e+05
1.280000000000000000e+04,3.013627584414308658e+05
1.300000000000000000e+04,3.013627584414308658e+05
1.320000000000000000e+04,2.520020333610826347e+05
1.340000000000000000e+04,2.520020333610826347e+05
1.360000000000000000e+04,2.520020333610826347e+05
1.380000000000000000e+04,2.520020333610826347e+05
1.400000000000000000e+04,2.335287577331035573e+05
1.420000000000000000e+04,2.156483230052248109e+05
