# evals, best
3.030000000000000000e+02,5.079765127181859314e+07
5.050000000000000000e+02,3.733500707022779435e+07
7.070000000000000000e+02,3.414430586518865824e+07
9.090000000000000000e+02,3.285022684848210588e+07
1.010000000000000000e+03,3.239837019087363780e+07
1.111000000000000000e+03,3.185769911092487723e+07
1.212000000000000000e+03,3.148963231189594418e+07
1.414000000000000000e+03,3.129772962300434336e+07
1.515000000000000000e+03,3.119660568257139623e+07
1.616000000000000000e+03,3.108225547855578363e+07
1.717000000000000000e+03,3.099142556777301058e+07
1.818000000000000000e+03,3.090952195543546230e+07
1.919000000000000000e+03,3.090080945615766943e+07
2.020000000000000000e+03,3.088572344894735143e+07
2.121000000000000000e+03,3.086222756662061065e+07
2.222000000000000000e+03,3.083111277727349102e+07
2.323000000000000000e+03,3.080778578073810041e+07
2.424000000000000000e+03,3.078837658561057970e+07
2.525000000000000000e+03,3.077705843854353577e+07
2.626000000000000000e+03,3.075971000044254586e+07
2.727000000000000000e+03,3.075260499324366823e+07
2.828000000000000000e+03,3.074237471588433161e+07
2.929000000000000000e+03,3.073412444500176609e+07
3.030000000000000000e+03,3.072295228690170869e+07
3.131000000000000000e+03,3.071391044792347029e+07
3.232000000000000000e+03,3.070187487834035605e+07
3.333000000000000000e+03,3.069320880059868842e+07
3.434000000000000000e+03,3.068291489283973724e+07
3.535000000000000000e+03,3.067288742965902016e+07
3.636000000000000000e+03,3.066132677218675241e+07
3.737000000000000000e+03,3.064549468173646927e+07
3.838000000000000000e+03,3.062885677341609448e+07
3.939000000000000000e+03,3.060064332111104578e+07
4.040000000000000000e+03,3.055501326827799901e+07
4.141000000000000000e+03,3.048916388756722212e+07
4.242000000000000000e+03,3.039227588662776724e+07
4.343000000000000000e+03,3.023704383576538041e+07
4.444000000000000000e+03,2.999243647480376437e+07
4.545000000000000000e+03,2.973462738746068627e+07
4.646000000000000000e+03,2.938464525431395322e+07
4.747000000000000000e+03,2.888113973192777857e+07
4.848000000000000000e+03,2.816409093523523957e+07
4.949000000000000000e+03,2.718973259307644516e+07
5.050000000000000000e+03,2.580770095513213426e+07
5.151000000000000000e+03,2.378280866303000599e+07
5.252000000000000000e+03,2.171359499303972721e+07
5.353000000000000000e+03,1.847230468335710466e+07
5.454000000000000000e+03,1.495796043824756145e+07
5.555000000000000000e+03,1.260453786722395197e+07
5.656000000000000000e+03,1.143574845346910134e+07
5.757000000000000000e+03,9.765808079972336069e+06
5.858000000000000000e+03,8.028571562046247534e+06
5.959000000000000000e+03,7.235016986926981248e+06
6.060000000000000000e+03,6.279352809334995225e+06
6.161000000000000000e+03,5.633657253630079329e+06
6.262000000000000000e+03,5.369300076739234850e+06
6.363000000000000000e+03,5.050758656449277885e+06
6.464000000000000000e+03,4.782237058014212176e+06
6.565000000000000000e+03,4.623867958979372866e+06
6.666000000000000000e+03,4.511387849001135677e+06
6.767000000000000000e+03,4.442334007955403067e+06
6.868000000000000000e+03,4.368472858298104256e+06
6.969000000000000000e+03,4.255145063306942582e+06
7.070000000000000000e+03,4.110180285067903809e+06
7.171000000000000000e+03,3.933157748795687687e+06
7.272000000000000000e+03,3.741245651385723148e+06
7.373000000000000000e+03,3.462632445816939697e+06
7.474000000000000000e+03,3.045326476235548034e+06
7.575000000000000000e+03,2.405839095060674008e+06
7.676000000000000000e+03,1.785712970204903977e+06
7.777000000000000000e+03,1.251425115659485338e+06
7.878000000000000000e+03,9.395037635962916538e+05
7.979000000000000000e+03,7.580332190748464782e+05
8.080000000000000000e+03,6.001300193368173204e+05
8.181000000000000000e+03,5.741884486476593884e+05
8.282000000000000000e+03,5.350833847748413682e+05
8.383000000000000000e+03,4.889528231353732990e+05
8.484000000000000000e+03,4.361476549510190380e+05
8.585000000000000000e+03,3.666784431506096153e+05
8.686000000000000000e+03,2.847916923310306156e+05
8.787000000000000000e+03,1.911645149003424158e+05
8.888000000000000000e+03,8.363390572812367463e+04
9.090000000000000000e+03,3.580365073512664094e+04
9.292000000000000000e+03,1.755096113693098232e+04
9.494000000000000000e+03,1.072615960838158207e+04
9.696000000000000000e+03,7.410435857533025228e+03
9.898000000000000000e+03,5.948486841175378686e+03
9.999000000000000000e+03,3.961602760858331749e+03
1.010000000000000000e+04,1.891980439613635781e+03
1.030200000000000000e+04,8.750872441864217990e+02
1.040300000000000000e+04,6.870979290996797317e+02
1.050400000000000000e+04,4.192815825006395016e+02
1.060500000000000000e+04,3.771491485240730981e+02
1.070600000000000000e+04,3.036726557921432459e+02
1.080700000000000000e+04,1.873865043498139471e+02
1.090800000000000000e+04,1.013037324405176633e+02
1.100900000000000000e+04,5.457615996756267407e+01
1.111000000000000000e+04,2.120735949305350587e+01
1.131200000000000000e+04,6.353510840304267937e+00
1.151400000000000000e+04,1.571448095168691772e+00
1.161500000000000000e+04,1.141906728404179949e+00
1.171600000000000000e+04,5.458241187661895255e-01
1.181700000000000000e+04,1.520164223917730428e-01
1.201900000000000000e+04,3.129932546306424951e-02
1.222100000000000000e+04,7.836846888634493857e-03
1.242300000000000000e+04,5.911275918473273255e-04
1.262500000000000000e+04,9.278389166677011255e-06
1.282700000000000000e+04,8.672500357456575640e-07
1.292800000000000000e+04,3.817119237584149531e-08
1.302900000000000000e+04,1.003180275374125445e-08
1.313000000000000000e+04,1.049924671005457007e-09
1.323100000000000000e+04,4.334837186326720637e-10
