# evals, best
4.000000000000000000e+02,7.913823387007763982e+07
8.000000000000000000e+02,5.342826120133353770e+07
1.200000000000000000e+03,4.793597242711500078e+07
1.600000000000000000e+03,3.672828669611136615e+07
2.000000000000000000e+03,3.672828669611136615e+07
2.400000000000000000e+03,3.672828669611136615e+07
2.800000000000000000e+03,3.672828669611136615e+07
3.200000000000000000e+03,3.672828669611136615e+07
3.600000000000000000e+03,3.672828669611136615e+07
4.000000000000000000e+03,3.672828669611136615e+07
4.400000000000000000e+03,3.672828669611136615e+07
4.800000000000000000e+03,3.672828669611136615e+07
5.200000000000000000e+03,3.672828669611136615e+07
5.600000000000000000e+03,3.672828669611136615e+07
6.000000000000000000e+03,3.672828669611136615e+07
6.400000000000000000e+03,3.672828669611136615e+07
6.800000000000000000e+03,3.672828669611136615e+07
7.200000000000000000e+03,3.672828669611136615e+07
7.600000000000000000e+03,3.672828669611136615e+07
8.000000000000000000e+03,3.672828669611136615e+07
8.400000000000000000e+03,3.672828669611136615e+07
8.800000000000000000e+03,3.672828669611136615e+07
9.200000000000000000e+03,3.672828669611136615e+07
9.600000000000000000e+03,3.672828669611136615e+07
1.000000000000000000e+04,3.672828669611136615e+07
1.040000000000000000e+04,3.672828669611136615e+07
1.080000000000000000e+04,3.672828669611136615e+07
1.120000000000000000e+04,3.672828669611136615e+07
1.160000000000000000e+04,3.672828669611136615e+07
1.200000000000000000e+04,3.672828669611136615e+07
1.240000000000000000e+04,3.672828669611136615e+07
1.280000000000000000e+04,3.672828669611136615e+07
1.320000000000000000e+04,3.672828669611136615e+07
1.360000000000000000e+04,3.672828669611136615e+07
1.400000000000000000e+04,3.672828669611136615e+07
1.440000000000000000e+04,3.672828669611136615e+07
1.480000000000000000e+04,3.672828669611136615e+07
1.520000000000000000e+04,3.672828669611136615e+07
1.560000000000000000e+04,3.672828669611136615e+07
1.600000000000000000e+04,3.416397983909998089e+07
1.640000000000000000e+04,3.416397983909998089e+07
1.680000000000000000e+04,3.067228343626523018e+07
1.720000000000000000e+04,3.067228343626523018e+07
1.760000000000000000e+04,3.067228343626523018e+07
1.800000000000000000e+04,3.067228343626523018e+07
1.840000000000000000e+04,3.067228343626523018e+07
1.880000000000000000e+04,3.067228343626523018e+07
1.920000000000000000e+04,3.067228343626523018e+07
1.960000000000000000e+04,2.790517592383568361e+07
2.000000000000000000e+04,2.790517592383568361e+07
2.040000000000000000e+04,2.790517592383568361e+07
2.080000000000000000e+04,2.790517592383568361e+07
2.120000000000000000e+04,2.790517592383568361e+07
2.160000000000000000e+04,2.721009545446524397e+07
2.200000000000000000e+04,2.680376551554474235e+07
2.240000000000000000e+04,2.680376551554474235e+07
2.280000000000000000e+04,2.638314609265873581e+07
2.320000000000000000e+04,2.638314609265873581e+07
2.360000000000000000e+04,2.638314609265873581e+07
2.400000000000000000e+04,2.277832923993767053e+07
2.440000000000000000e+04,1.973511842731218040e+07
2.480000000000000000e+04,1.870103656394826248e+07
2.520000000000000000e+04,1.870103656394826248e+07
2.560000000000000000e+04,1.771889504681459814e+07
2.600000000000000000e+04,1.510516998044057190e+07
2.640000000000000000e+04,1.510516998044057190e+07
2.680000000000000000e+04,1.510516998044057190e+07
2.720000000000000000e+04,1.510516998044057190e+07
2.760000000000000000e+04,1.510516998044057190e+07
2.800000000000000000e+04,1.336811276391798630e+07
2.840000000000000000e+04,1.336811276391798630e+07
2.880000000000000000e+04,1.074218584120528027e+07
2.920000000000000000e+04,1.074218584120528027e+07
2.960000000000000000e+04,1.041787099675875530e+07
3.000000000000000000e+04,8.449239299388509244e+06
3.040000000000000000e+04,8.418777037588732317e+06
3.080000000000000000e+04,7.679091869392300025e+06
3.120000000000000000e+04,6.423227839541900903e+06
3.160000000000000000e+04,6.423227839541900903e+06
3.200000000000000000e+04,6.423227839541900903e+06
3.240000000000000000e+04,6.423227839541900903e+06
3.280000000000000000e+04,6.237399738664035685e+06
3.320000000000000000e+04,6.237399738664035685e+06
3.360000000000000000e+04,5.100195546046731994e+06
3.400000000000000000e+04,3.910376089138656389e+06
3.440000000000000000e+04,3.910376089138656389e+06
3.480000000000000000e+04,3.910376089138656389e+06
3.520000000000000000e+04,3.910376089138656389e+06
3.560000000000000000e+04,3.910376089138656389e+06
