# evals, best
2.200000000000000000e+01,1.149566047927473113e+07
4.400000000000000000e+01,1.134157761398930289e+07
5.500000000000000000e+01,1.126586944467991590e+07
7.700000000000000000e+01,1.124053283204012550e+07
8.800000000000000000e+01,1.121845531744619831e+07
9.900000000000000000e+01,1.117960505225088261e+07
1.320000000000000000e+02,9.865521006176680326e+06
1.430000000000000000e+02,7.412882530742543750e+06
1.650000000000000000e+02,6.591622190675968304e+06
1.760000000000000000e+02,5.038100761668614112e+06
1.870000000000000000e+02,2.730785859077133704e+06
1.980000000000000000e+02,4.093722753504901193e+05
2.090000000000000000e+02,1.059524612012766966e+03
2.200000000000000000e+02,1.487101767999074342e+00
2.420000000000000000e+02,2.064237184448186775e-03
2.530000000000000000e+02,4.756183293666206320e-09
2.640000000000000000e+02,7.075478455451128690e-11
