# evals, best
4.000000000000000000e+01,1.876857690173907671e+06
8.000000000000000000e+01,1.876857690173907671e+06
1.200000000000000000e+02,9.031958853258410236e+05
1.600000000000000000e+02,5.020043334764592582e+05
2.000000000000000000e+02,1.363168907728370104e+05
2.400000000000000000e+02,1.363168907728370104e+05
2.800000000000000000e+02,1.363168907728370104e+05
3.200000000000000000e+02,1.363168907728370104e+05
3.600000000000000000e+02,9.209650396489650302e+04
4.000000000000000000e+02,9.209650396489650302e+04
4.400000000000000000e+02,9.209650396489650302e+04
4.800000000000000000e+02,8.398038157769129612e+04
5.200000000000000000e+02,8.398038157769129612e+04
5.600000000000000000e+02,8.398038157769129612e+04
6.000000000000000000e+02,5.373632019057754951e+04
6.400000000000000000e+02,5.373632019057754951e+04
6.800000000000000000e+02,5.373632019057754951e+04
7.200000000000000000e+02,4.849448649937014125e+04
7.600000000000000000e+02,2.440222199027502575e+04
8.000000000000000000e+02,2.440222199027502575e+04
8.400000000000000000e+02,2.440222199027502575e+04
8.800000000000000000e+02,2.285990334269356754e+04
9.200000000000000000e+02,2.285990334269356754e+04
9.600000000000000000e+02,1.858807367148084813e+04
1.000000000000000000e+03,1.452423780763598006e+04
1.040000000000000000e+03,1.226354865950721069e+04
1.080000000000000000e+03,9.919615078546496079e+03
1.120000000000000000e+03,6.158365865927848972e+03
1.160000000000000000e+03,6.158365865927848972e+03
1.200000000000000000e+03,6.158365865927848972e+03
1.240000000000000000e+03,5.225192795865218613e+03
1.280000000000000000e+03,5.225192795865218613e+03
1.320000000000000000e+03,3.328745335350490677e+03
1.360000000000000000e+03,2.250996506162749029e+03
1.400000000000000000e+03,2.250996506162749029e+03
1.440000000000000000e+03,2.250996506162749029e+03
1.480000000000000000e+03,2.250996506162749029e+03
1.520000000000000000e+03,1.829448189304825519e+03
1.560000000000000000e+03,1.614809627644384136e+03
1.600000000000000000e+03,1.162326120660898823e+03
1.640000000000000000e+03,9.956042382613151176e+02
1.680000000000000000e+03,9.956042382613151176e+02
1.720000000000000000e+03,6.947557227642538464e+02
1.760000000000000000e+03,6.403520481100865709e+02
1.800000000000000000e+03,6.083172740334277933e+02
1.840000000000000000e+03,6.083172740334277933e+02
1.880000000000000000e+03,4.713905239608758393e+02
1.920000000000000000e+03,3.811525450289825017e+02
1.960000000000000000e+03,2.602294792621825081e+02
2.000000000000000000e+03,2.602294792621825081e+02
2.040000000000000000e+03,2.399820102678407636e+02
2.080000000000000000e+03,1.440629780049638384e+02
2.120000000000000000e+03,1.440629780049638384e+02
2.160000000000000000e+03,8.379193355497191931e+01
2.200000000000000000e+03,8.379193355497191931e+01
2.240000000000000000e+03,8.379193355497191931e+01
2.280000000000000000e+03,7.784094197914527058e+01
2.320000000000000000e+03,5.935525947227034749e+01
2.360000000000000000e+03,3.626108385792252875e+01
2.400000000000000000e+03,3.626108385792252875e+01
2.440000000000000000e+03,3.626108385792252875e+01
2.480000000000000000e+03,3.626108385792252875e+01
2.520000000000000000e+03,2.370622041549847836e+01
2.560000000000000000e+03,2.370622041549847836e+01
2.600000000000000000e+03,2.370622041549847836e+01
2.640000000000000000e+03,2.283356882471412064e+01
2.680000000000000000e+03,1.923562157523964800e+01
2.720000000000000000e+03,1.923562157523964800e+01
2.760000000000000000e+03,1.923562157523964800e+01
2.800000000000000000e+03,1.525097986641753600e+01
2.840000000000000000e+03,1.525097986641753600e+01
2.880000000000000000e+03,1.241766431957481309e+01
2.920000000000000000e+03,1.179158447995595260e+01
2.960000000000000000e+03,1.035656279537035473e+01
3.000000000000000000e+03,1.035656279537035473e+01
3.040000000000000000e+03,9.497379772391854047e+00
3.080000000000000000e+03,9.497379772391854047e+00
3.120000000000000000e+03,7.987809936305449554e+00
3.160000000000000000e+03,7.987809936305449554e+00
3.200000000000000000e+03,6.913188659441855677e+00
3.240000000000000000e+03,6.913188659441855677e+00
3.280000000000000000e+03,6.683876135709324373e+00
3.320000000000000000e+03,6.563544037016695754e+00
3.360000000000000000e+03,6.089072609757040233e+00
3.400000000000000000e+03,1.475680885588623426e+00
3.440000000000000000e+03,1.475680885588623426e+00
3.480000000000000000e+03,1.475680885588623426e+00
3.520000000000000000e+03,1.475680885588623426e+00
3.560000000000000000e+03,1.475680885588623426e+00
3.600000000000000000e+03,1.475680885588623426e+00
3.640000000000000000e+03,1.475680885588623426e+00
3.680000000000000000e+03,1.475680885588623426e+00
3.720000000000000000e+03,1.475680885588623426e+00
3.760000000000000000e+03,6.762969595960407476e-01
3.800000000000000000e+03,2.627587751691639051e-01
3.840000000000000000e+03,2.627587751691639051e-01
3.880000000000000000e+03,2.627587751691639051e-01
3.920000000000000000e+03,1.657397917161638201e-01
3.960000000000000000e+03,1.603368947427457059e-01
4.000000000000000000e+03,1.327781295605320877e-01
4.040000000000000000e+03,8.605069969424040954e-02
4.080000000000000000e+03,8.605069969424040954e-02
4.120000000000000000e+03,6.584827462934667031e-02
4.160000000000000000e+03,3.895435166332738425e-02
4.200000000000000000e+03,3.895435166332738425e-02
4.240000000000000000e+03,3.798427758489416467e-02
4.280000000000000000e+03,3.798427758489416467e-02
4.320000000000000000e+03,3.798427758489416467e-02
4.360000000000000000e+03,2.659949385940578101e-02
4.400000000000000000e+03,1.830273932144072663e-02
4.440000000000000000e+03,1.068846947566665095e-02
4.480000000000000000e+03,1.021155065309332921e-02
4.520000000000000000e+03,5.596330340806291229e-03
4.560000000000000000e+03,5.209807932083131490e-03
4.600000000000000000e+03,4.944296986690342212e-03
4.640000000000000000e+03,2.960092825830201203e-03
4.680000000000000000e+03,2.796601473352953310e-03
4.720000000000000000e+03,2.194137662691368878e-03
4.760000000000000000e+03,1.586015379474648617e-03
4.800000000000000000e+03,1.313757329870735577e-03
4.840000000000000000e+03,1.115536862560867004e-03
4.880000000000000000e+03,4.910099248525036505e-04
4.920000000000000000e+03,4.910099248525036505e-04
4.960000000000000000e+03,2.350936751647973006e-04
5.000000000000000000e+03,2.350936751647973006e-04
5.040000000000000000e+03,2.350936751647973006e-04
5.080000000000000000e+03,2.350936751647973006e-04
5.120000000000000000e+03,1.707964314755445795e-04
5.160000000000000000e+03,1.707964314755445795e-04
5.200000000000000000e+03,9.957414112513469613e-05
5.240000000000000000e+03,6.948251934548578892e-05
5.280000000000000000e+03,4.253487812008341178e-05
5.320000000000000000e+03,2.330873118809256056e-05
5.360000000000000000e+03,2.330873118809256056e-05
5.400000000000000000e+03,2.330873118809256056e-05
5.440000000000000000e+03,2.175329078586783066e-05
5.480000000000000000e+03,1.150431468334924706e-05
5.520000000000000000e+03,1.134163724691399829e-05
5.560000000000000000e+03,9.707216179129168635e-06
5.600000000000000000e+03,8.185933063315822190e-06
5.640000000000000000e+03,7.214874936299880875e-06
5.680000000000000000e+03,5.482509151664130026e-06
5.720000000000000000e+03,4.377475348687241829e-06
5.760000000000000000e+03,2.013583320652881701e-06
5.800000000000000000e+03,1.469583536231763114e-06
5.840000000000000000e+03,1.469583536231763114e-06
5.880000000000000000e+03,1.386843520259213370e-06
5.920000000000000000e+03,7.193766557576621463e-07
5.960000000000000000e+03,5.105931392989363760e-07
6.000000000000000000e+03,4.205954873868035593e-07
6.040000000000000000e+03,4.205954873868035593e-07
6.080000000000000000e+03,2.250817389162249835e-07
6.120000000000000000e+03,2.250817389162249835e-07
6.160000000000000000e+03,7.866462034170098680e-08
6.200000000000000000e+03,7.866462034170098680e-08
6.240000000000000000e+03,7.866462034170098680e-08
6.280000000000000000e+03,4.035868922170843979e-08
6.320000000000000000e+03,3.772853157592325007e-08
6.360000000000000000e+03,2.342721559943243284e-08
6.400000000000000000e+03,2.295471703125853516e-08
6.440000000000000000e+03,1.933155916146554212e-08
6.480000000000000000e+03,1.679725729164857518e-08
6.520000000000000000e+03,1.211498312282253269e-08
6.560000000000000000e+03,8.292480569745670649e-09
6.600000000000000000e+03,5.030164521701791970e-09
6.640000000000000000e+03,5.030164521701791970e-09
6.680000000000000000e+03,2.306366035815060748e-09
6.720000000000000000e+03,2.306366035815060748e-09
6.760000000000000000e+03,1.410705291327413011e-09
6.800000000000000000e+03,1.307975219353300759e-09
6.840000000000000000e+03,5.534500711359845972e-10
6.880000000000000000e+03,5.534500711359845972e-10
6.920000000000000000e+03,4.560748742026193556e-10
6.960000000000000000e+03,4.560748742026193556e-10
7.000000000000000000e+03,1.545118679880487755e-10
7.040000000000000000e+03,1.545118679880487755e-10
7.080000000000000000e+03,1.528762474254306775e-10
7.120000000000000000e+03,1.001157023863638628e-10
7.160000000000000000e+03,9.689049376198842233e-11
7.200000000000000000e+03,7.653090201167024871e-11
7.240000000000000000e+03,6.467174001899901151e-11
7.280000000000000000e+03,5.279706867619461335e-11
7.320000000000000000e+03,2.574017573669947804e-11
7.360000000000000000e+03,2.090020901300099286e-11
7.400000000000000000e+03,1.536764687203426394e-11
7.440000000000000000e+03,7.140624016542309086e-12
7.480000000000000000e+03,4.003687375207807295e-12
7.520000000000000000e+03,4.003687375207807295e-12
7.560000000000000000e+03,3.523659390345088527e-12
7.600000000000000000e+03,3.516775497000267589e-12
7.640000000000000000e+03,2.253075964929964239e-12
7.680000000000000000e+03,1.773196941777537554e-12
7.720000000000000000e+03,4.842248928152903793e-13
7.760000000000000000e+03,4.269905004686777552e-13
7.800000000000000000e+03,2.980098093374856128e-13
7.840000000000000000e+03,2.953041973620282969e-13
7.880000000000000000e+03,2.953041973620282969e-13
7.920000000000000000e+03,2.035013129976153186e-13
7.960000000000000000e+03,2.035013129976153186e-13
8.000000000000000000e+03,1.706603313043999401e-13
8.040000000000000000e+03,1.409185708336625115e-13
8.080000000000000000e+03,4.150707910160291817e-14
8.120000000000000000e+03,4.150707910160291817e-14
8.160000000000000000e+03,4.150707910160291817e-14
8.200000000000000000e+03,4.150707910160291817e-14
8.240000000000000000e+03,2.629597157733713860e-14
8.280000000000000000e+03,2.629597157733713860e-14
8.320000000000000000e+03,2.629597157733713860e-14
8.360000000000000000e+03,2.329017966504018713e-14
8.400000000000000000e+03,2.113312000867391430e-14
8.440000000000000000e+03,1.265576155755235008e-14
8.480000000000000000e+03,9.478093787405973166e-15
8.520000000000000000e+03,9.478093787405973166e-15
8.560000000000000000e+03,3.139239159493180002e-15
8.600000000000000000e+03,3.139239159493180002e-15
8.640000000000000000e+03,3.139239159493180002e-15
8.680000000000000000e+03,3.139239159493180002e-15
8.720000000000000000e+03,3.139239159493180002e-15
8.760000000000000000e+03,2.260636242704196916e-15
8.800000000000000000e+03,1.950019676452070213e-15
8.840000000000000000e+03,1.559275931079744598e-15
8.880000000000000000e+03,7.508400127760322783e-16
8.920000000000000000e+03,7.508400127760322783e-16
8.960000000000000000e+03,6.203605411291733187e-16
9.000000000000000000e+03,6.203605411291733187e-16
9.040000000000000000e+03,5.188430522644340134e-16
9.080000000000000000e+03,3.519166212603373064e-16
9.120000000000000000e+03,2.359705513293403914e-16
9.160000000000000000e+03,4.982218333163757484e-17
9.200000000000000000e+03,4.982218333163757484e-17
9.240000000000000000e+03,4.982218333163757484e-17
9.280000000000000000e+03,4.982218333163757484e-17
9.320000000000000000e+03,4.982218333163757484e-17
9.360000000000000000e+03,4.982218333163757484e-17
9.400000000000000000e+03,3.531438431616767848e-17
9.440000000000000000e+03,2.529410563298474593e-17
9.480000000000000000e+03,2.529410563298474593e-17
9.520000000000000000e+03,2.195116528751559265e-17
9.560000000000000000e+03,1.817064101446012954e-17
9.600000000000000000e+03,1.120543889707955941e-17
9.640000000000000000e+03,8.711103098178625246e-18
9.680000000000000000e+03,5.182620582559005012e-18
9.720000000000000000e+03,5.182620582559005012e-18
9.760000000000000000e+03,5.058753462416926949e-18
9.800000000000000000e+03,5.058753462416926949e-18
9.840000000000000000e+03,4.571002721996649263e-18
9.880000000000000000e+03,3.749837565781424600e-18
9.920000000000000000e+03,1.636593475556295436e-18
