# evals, best
2.020000000000000000e+02,7.440771361659224331e+07
3.030000000000000000e+02,6.978876282351881266e+07
4.040000000000000000e+02,6.623740871474353969e+07
6.060000000000000000e+02,6.522867270942130685e+07
7.070000000000000000e+02,6.490004194194041938e+07
8.080000000000000000e+02,6.459520242792915553e+07
9.090000000000000000e+02,6.438702048522727191e+07
1.010000000000000000e+03,6.420744794937723875e+07
1.111000000000000000e+03,6.411579334430359304e+07
1.212000000000000000e+03,6.404064306777678430e+07
1.313000000000000000e+03,6.400819267730477452e+07
1.414000000000000000e+03,6.396583418094567955e+07
1.515000000000000000e+03,6.392818112197431922e+07
1.616000000000000000e+03,6.391076999610075355e+07
1.717000000000000000e+03,6.388880113093922287e+07
1.818000000000000000e+03,6.387239140273467451e+07
1.919000000000000000e+03,6.385286554251933098e+07
2.020000000000000000e+03,6.383878795251356810e+07
2.121000000000000000e+03,6.382071756857923418e+07
2.323000000000000000e+03,6.381122993089647591e+07
2.424000000000000000e+03,6.379975647147259116e+07
2.525000000000000000e+03,6.378947456267026812e+07
2.626000000000000000e+03,6.377477350235392153e+07
2.727000000000000000e+03,6.375687749388815463e+07
2.828000000000000000e+03,6.373625645116700232e+07
2.929000000000000000e+03,6.371005644990879297e+07
3.030000000000000000e+03,6.367845915884482861e+07
3.131000000000000000e+03,6.367381735101690888e+07
3.232000000000000000e+03,6.366539519941896945e+07
3.333000000000000000e+03,6.365012108386764675e+07
3.434000000000000000e+03,6.362373722147122025e+07
3.535000000000000000e+03,6.357992543987466395e+07
3.636000000000000000e+03,6.350457841259141266e+07
3.737000000000000000e+03,6.338195432712706923e+07
3.838000000000000000e+03,6.322571514208526164e+07
3.939000000000000000e+03,6.302151180855777860e+07
4.040000000000000000e+03,6.269626522539432347e+07
4.141000000000000000e+03,6.212933503003247082e+07
4.242000000000000000e+03,6.117345478728686273e+07
4.343000000000000000e+03,5.960464607201356441e+07
4.444000000000000000e+03,5.717375322447588295e+07
4.545000000000000000e+03,5.357665982602600753e+07
4.646000000000000000e+03,4.909190894439817965e+07
4.747000000000000000e+03,4.326151105694160610e+07
4.848000000000000000e+03,3.667730908892529458e+07
4.949000000000000000e+03,3.196320294331574067e+07
5.050000000000000000e+03,2.608470562719267234e+07
5.151000000000000000e+03,2.278039652862826735e+07
5.252000000000000000e+03,2.024015712169297040e+07
5.353000000000000000e+03,1.641844414149329439e+07
5.555000000000000000e+03,1.441938576202811673e+07
5.656000000000000000e+03,1.216015104880069755e+07
5.757000000000000000e+03,1.189856667953859828e+07
5.858000000000000000e+03,1.145008393967068568e+07
5.959000000000000000e+03,1.098474922954023816e+07
6.060000000000000000e+03,1.052418319279537536e+07
6.161000000000000000e+03,1.021791711079558730e+07
6.262000000000000000e+03,9.976417849975783378e+06
6.363000000000000000e+03,9.782971508839735761e+06
6.464000000000000000e+03,9.581771706945136189e+06
6.565000000000000000e+03,9.514828336440825835e+06
6.666000000000000000e+03,9.400711493373189121e+06
6.767000000000000000e+03,9.215801584665201604e+06
6.868000000000000000e+03,8.931178662396801636e+06
6.969000000000000000e+03,8.483362238920863718e+06
7.070000000000000000e+03,7.774636321653163992e+06
7.171000000000000000e+03,7.003016289674086496e+06
7.272000000000000000e+03,5.940524571194854565e+06
7.373000000000000000e+03,4.427195598863042891e+06
7.474000000000000000e+03,3.067818877596214879e+06
7.575000000000000000e+03,2.052815991012219805e+06
7.777000000000000000e+03,1.574728666484214831e+06
7.979000000000000000e+03,1.326107462236102670e+06
8.080000000000000000e+03,1.098324057032732759e+06
8.282000000000000000e+03,9.815390603564964840e+05
8.383000000000000000e+03,9.328533236283576116e+05
8.484000000000000000e+03,8.582121844160330947e+05
8.585000000000000000e+03,7.585967000999260927e+05
8.686000000000000000e+03,6.073990909493961371e+05
8.787000000000000000e+03,4.433343223780142143e+05
8.888000000000000000e+03,2.494166241361119901e+05
8.989000000000000000e+03,2.253473304059707152e+05
9.090000000000000000e+03,1.850881970425639593e+05
9.191000000000000000e+03,1.500443248995454633e+05
9.292000000000000000e+03,1.194932558532313706e+05
9.393000000000000000e+03,8.653131616148068861e+04
9.494000000000000000e+03,5.003498910170729505e+04
9.595000000000000000e+03,1.626602708842153152e+04
9.797000000000000000e+03,3.963687302553067639e+03
9.999000000000000000e+03,1.628470292391807106e+03
1.020100000000000000e+04,6.859973165456563038e+02
1.040300000000000000e+04,4.578245737975660177e+02
1.050400000000000000e+04,2.374193376434844822e+02
1.060500000000000000e+04,8.516493557227761357e+01
1.080700000000000000e+04,2.450970627874298913e+01
1.100900000000000000e+04,1.018815720999915442e+01
1.121100000000000000e+04,5.037960765468597835e+00
1.131200000000000000e+04,4.305170654718536660e+00
1.141300000000000000e+04,3.009460908644665089e+00
1.151400000000000000e+04,1.333644185273587190e+00
1.161500000000000000e+04,9.376194811336818757e-01
1.171600000000000000e+04,3.668915317993776126e-01
1.191800000000000000e+04,8.287228217825787224e-02
1.212000000000000000e+04,8.479808493519794613e-03
1.232200000000000000e+04,1.112934635585346825e-03
1.252400000000000000e+04,1.901389961386492841e-04
1.272600000000000000e+04,3.338473182397104092e-06
1.292800000000000000e+04,6.190542201170846328e-08
1.302900000000000000e+04,5.013237404342347023e-08
1.313000000000000000e+04,2.921255292247595608e-08
1.323100000000000000e+04,2.471261295733815996e-09
1.333200000000000000e+04,4.270035228418165682e-10
1.343300000000000000e+04,4.261935336951714219e-10
