# evals, best
8.000000000000000000e+02,1.040231993886860311e+08
1.600000000000000000e+03,9.254108786065262556e+07
2.400000000000000000e+03,7.359846402441067994e+07
3.200000000000000000e+03,7.359846402441067994e+07
4.000000000000000000e+03,7.359846402441067994e+07
4.800000000000000000e+03,7.359846402441067994e+07
5.600000000000000000e+03,7.359846402441067994e+07
6.400000000000000000e+03,7.359846402441067994e+07
7.200000000000000000e+03,7.359846402441067994e+07
8.000000000000000000e+03,7.359846402441067994e+07
8.800000000000000000e+03,7.359846402441067994e+07
9.600000000000000000e+03,7.359846402441067994e+07
1.040000000000000000e+04,7.359846402441067994e+07
1.120000000000000000e+04,7.359846402441067994e+07
1.200000000000000000e+04,7.359846402441067994e+07
1.280000000000000000e+04,7.359846402441067994e+07
1.360000000000000000e+04,7.359846402441067994e+07
1.440000000000000000e+04,7.359846402441067994e+07
1.520000000000000000e+04,7.359846402441067994e+07
1.600000000000000000e+04,7.359846402441067994e+07
1.680000000000000000e+04,7.359846402441067994e+07
1.760000000000000000e+04,7.359846402441067994e+07
1.840000000000000000e+04,7.359846402441067994e+07
1.920000000000000000e+04,7.359846402441067994e+07
2.000000000000000000e+04,7.359846402441067994e+07
2.080000000000000000e+04,7.359846402441067994e+07
2.160000000000000000e+04,7.359846402441067994e+07
2.240000000000000000e+04,7.359846402441067994e+07
2.320000000000000000e+04,7.359846402441067994e+07
2.400000000000000000e+04,7.359846402441067994e+07
2.480000000000000000e+04,7.359846402441067994e+07
2.560000000000000000e+04,7.359846402441067994e+07
2.640000000000000000e+04,7.359846402441067994e+07
2.720000000000000000e+04,7.359846402441067994e+07
2.800000000000000000e+04,7.359846402441067994e+07
2.880000000000000000e+04,7.359846402441067994e+07
2.960000000000000000e+04,7.359846402441067994e+07
3.040000000000000000e+04,7.359846402441067994e+07
3.120000000000000000e+04,7.359846402441067994e+07
3.200000000000000000e+04,7.359846402441067994e+07
3.280000000000000000e+04,7.359846402441067994e+07
3.360000000000000000e+04,7.359846402441067994e+07
3.440000000000000000e+04,7.359846402441067994e+07
3.520000000000000000e+04,7.359846402441067994e+07
3.600000000000000000e+04,7.359846402441067994e+07
3.680000000000000000e+04,7.359846402441067994e+07
3.760000000000000000e+04,7.359846402441067994e+07
3.840000000000000000e+04,7.222739701045487821e+07
3.920000000000000000e+04,7.222739701045487821e+07
4.000000000000000000e+04,7.222739701045487821e+07
4.080000000000000000e+04,6.966387553377097845e+07
4.160000000000000000e+04,6.956325998525528610e+07
4.240000000000000000e+04,5.908385117209181190e+07
4.320000000000000000e+04,5.908385117209181190e+07
4.400000000000000000e+04,5.908385117209181190e+07
4.480000000000000000e+04,5.908385117209181190e+07
4.560000000000000000e+04,5.620850443043402582e+07
4.640000000000000000e+04,5.620850443043402582e+07
4.720000000000000000e+04,5.473303180091661960e+07
4.800000000000000000e+04,5.473303180091661960e+07
4.880000000000000000e+04,5.473303180091661960e+07
4.960000000000000000e+04,4.453660033400811255e+07
5.040000000000000000e+04,4.453660033400811255e+07
5.120000000000000000e+04,4.453660033400811255e+07
5.200000000000000000e+04,3.801915311482769251e+07
5.280000000000000000e+04,3.801915311482769251e+07
5.360000000000000000e+04,3.801915311482769251e+07
5.440000000000000000e+04,3.801915311482769251e+07
5.520000000000000000e+04,3.502747557133567333e+07
5.600000000000000000e+04,3.502747557133567333e+07
5.680000000000000000e+04,3.502747557133567333e+07
5.760000000000000000e+04,3.502747557133567333e+07
5.840000000000000000e+04,3.502747557133567333e+07
5.920000000000000000e+04,3.502747557133567333e+07
6.000000000000000000e+04,3.493650938349706680e+07
6.080000000000000000e+04,2.636190567350466177e+07
6.160000000000000000e+04,2.636190567350466177e+07
6.240000000000000000e+04,2.636190567350466177e+07
6.320000000000000000e+04,2.636190567350466177e+07
6.400000000000000000e+04,2.636190567350466177e+07
6.480000000000000000e+04,2.636190567350466177e+07
6.560000000000000000e+04,2.568764451972462237e+07
6.640000000000000000e+04,2.568764451972462237e+07
6.720000000000000000e+04,2.004251721936897561e+07
6.800000000000000000e+04,1.639481444039221294e+07
6.880000000000000000e+04,1.639481444039221294e+07
6.960000000000000000e+04,1.639481444039221294e+07
7.040000000000000000e+04,1.639481444039221294e+07
7.120000000000000000e+04,1.639481444039221294e+07
7.200000000000000000e+04,1.639481444039221294e+07
7.280000000000000000e+04,1.639481444039221294e+07
7.360000000000000000e+04,1.639481444039221294e+07
7.440000000000000000e+04,1.639481444039221294e+07
7.520000000000000000e+04,1.595834434623064660e+07
7.600000000000000000e+04,1.595834434623064660e+07
7.680000000000000000e+04,1.595834434623064660e+07
7.760000000000000000e+04,1.595834434623064660e+07
7.840000000000000000e+04,1.595834434623064660e+07
7.920000000000000000e+04,1.595834434623064660e+07
8.000000000000000000e+04,1.407934725234672800e+07
8.080000000000000000e+04,1.407934725234672800e+07
8.160000000000000000e+04,1.268405305799990706e+07
8.240000000000000000e+04,1.268405305799990706e+07
8.320000000000000000e+04,1.268405305799990706e+07
8.400000000000000000e+04,1.241794436288503930e+07
8.480000000000000000e+04,1.241794436288503930e+07
8.560000000000000000e+04,1.241794436288503930e+07
8.640000000000000000e+04,1.241794436288503930e+07
8.720000000000000000e+04,1.241794436288503930e+07
8.800000000000000000e+04,1.241794436288503930e+07
8.880000000000000000e+04,1.181343995832890645e+07
8.960000000000000000e+04,1.181343995832890645e+07
9.040000000000000000e+04,9.250991828035676852e+06
9.120000000000000000e+04,9.250991828035676852e+06
9.200000000000000000e+04,9.250991828035676852e+06
9.280000000000000000e+04,9.250991828035676852e+06
9.360000000000000000e+04,9.250991828035676852e+06
9.440000000000000000e+04,9.250991828035676852e+06
9.520000000000000000e+04,9.250991828035676852e+06
9.600000000000000000e+04,9.250991828035676852e+06
9.680000000000000000e+04,9.250991828035676852e+06
9.760000000000000000e+04,9.250991828035676852e+06
9.840000000000000000e+04,9.250991828035676852e+06
9.920000000000000000e+04,8.615840687403924763e+06
1.000000000000000000e+05,8.615840687403924763e+06
1.008000000000000000e+05,8.320936173838546500e+06
1.016000000000000000e+05,8.320936173838546500e+06
1.024000000000000000e+05,8.081031670059772208e+06
1.032000000000000000e+05,7.742732972057907842e+06
1.040000000000000000e+05,7.742732972057907842e+06
1.048000000000000000e+05,7.523852218978540972e+06
1.056000000000000000e+05,7.523852218978540972e+06
1.064000000000000000e+05,6.770629128203113563e+06
1.072000000000000000e+05,6.770629128203113563e+06
1.080000000000000000e+05,6.150062879341091029e+06
1.088000000000000000e+05,5.424399088530110195e+06
1.096000000000000000e+05,5.424399088530110195e+06
1.104000000000000000e+05,5.424399088530110195e+06
1.112000000000000000e+05,5.424399088530110195e+06
1.120000000000000000e+05,5.424399088530110195e+06
1.128000000000000000e+05,5.424399088530110195e+06
1.136000000000000000e+05,4.847359241791551933e+06
1.144000000000000000e+05,4.847359241791551933e+06
1.152000000000000000e+05,4.847359241791551933e+06
1.160000000000000000e+05,4.847359241791551933e+06
1.168000000000000000e+05,4.847359241791551933e+06
1.176000000000000000e+05,4.484176890020336956e+06
1.184000000000000000e+05,4.484176890020336956e+06
1.192000000000000000e+05,3.975988268677502871e+06
1.200000000000000000e+05,3.687979732912883162e+06
1.208000000000000000e+05,3.649810500139582902e+06
1.216000000000000000e+05,3.649810500139582902e+06
1.224000000000000000e+05,3.649810500139582902e+06
1.232000000000000000e+05,3.649810500139582902e+06
1.240000000000000000e+05,3.649810500139582902e+06
1.248000000000000000e+05,3.649810500139582902e+06
1.256000000000000000e+05,3.000668559080764186e+06
1.264000000000000000e+05,3.000668559080764186e+06
1.272000000000000000e+05,3.000668559080764186e+06
1.280000000000000000e+05,3.000668559080764186e+06
1.288000000000000000e+05,3.000668559080764186e+06
1.296000000000000000e+05,3.000668559080764186e+06
1.304000000000000000e+05,3.000668559080764186e+06
1.312000000000000000e+05,3.000668559080764186e+06
1.320000000000000000e+05,2.731981722278891597e+06
1.328000000000000000e+05,2.731981722278891597e+06
1.336000000000000000e+05,2.731981722278891597e+06
1.344000000000000000e+05,2.731981722278891597e+06
1.352000000000000000e+05,2.399117046395133715e+06
1.360000000000000000e+05,2.399117046395133715e+06
1.368000000000000000e+05,2.399117046395133715e+06
1.376000000000000000e+05,2.399117046395133715e+06
1.384000000000000000e+05,2.399117046395133715e+06
1.392000000000000000e+05,2.399117046395133715e+06
1.400000000000000000e+05,2.399117046395133715e+06
1.408000000000000000e+05,2.399117046395133715e+06
1.416000000000000000e+05,2.399117046395133715e+06
1.424000000000000000e+05,2.399117046395133715e+06
1.432000000000000000e+05,2.399117046395133715e+06
1.440000000000000000e+05,2.399117046395133715e+06
1.448000000000000000e+05,1.974572524722703965e+06
1.456000000000000000e+05,1.872459494674108457e+06
1.464000000000000000e+05,1.872459494674108457e+06
1.472000000000000000e+05,1.758779680530356476e+06
1.480000000000000000e+05,1.758779680530356476e+06
1.488000000000000000e+05,1.758779680530356476e+06
1.496000000000000000e+05,1.758779680530356476e+06
1.504000000000000000e+05,1.758779680530356476e+06
1.512000000000000000e+05,1.717642279113422614e+06
1.520000000000000000e+05,1.717642279113422614e+06
1.528000000000000000e+05,1.717642279113422614e+06
1.536000000000000000e+05,1.677738097138712881e+06
1.544000000000000000e+05,1.614532706398782087e+06
1.552000000000000000e+05,1.614532706398782087e+06
1.560000000000000000e+05,1.614532706398782087e+06
1.568000000000000000e+05,1.592712519181305077e+06
1.576000000000000000e+05,1.452924824721903773e+06
1.584000000000000000e+05,1.452924824721903773e+06
1.592000000000000000e+05,1.452924824721903773e+06
1.600000000000000000e+05,1.317036490062617464e+06
1.608000000000000000e+05,1.265490800241175340e+06
1.616000000000000000e+05,1.265490800241175340e+06
1.624000000000000000e+05,1.265490800241175340e+06
1.632000000000000000e+05,1.265490800241175340e+06
1.640000000000000000e+05,1.118981740297501441e+06
1.648000000000000000e+05,1.118981740297501441e+06
1.656000000000000000e+05,1.118981740297501441e+06
1.664000000000000000e+05,1.118981740297501441e+06
1.672000000000000000e+05,1.118981740297501441e+06
1.680000000000000000e+05,1.118981740297501441e+06
1.688000000000000000e+05,1.118981740297501441e+06
1.696000000000000000e+05,1.118981740297501441e+06
1.704000000000000000e+05,1.118981740297501441e+06
1.712000000000000000e+05,1.080786616152035771e+06
1.720000000000000000e+05,1.079710403273429722e+06
1.728000000000000000e+05,1.079710403273429722e+06
1.736000000000000000e+05,1.078416466922859428e+06
1.744000000000000000e+05,1.005533871505964664e+06
1.752000000000000000e+05,9.325308447409813525e+05
1.760000000000000000e+05,9.325308447409813525e+05
1.768000000000000000e+05,9.325308447409813525e+05
1.776000000000000000e+05,8.475029974527148297e+05
1.784000000000000000e+05,8.475029974527148297e+05
1.792000000000000000e+05,8.475029974527148297e+05
1.800000000000000000e+05,8.475029974527148297e+05
1.808000000000000000e+05,8.475029974527148297e+05
1.816000000000000000e+05,8.475029974527148297e+05
1.824000000000000000e+05,8.475029974527148297e+05
1.832000000000000000e+05,8.468470969611622859e+05
1.840000000000000000e+05,8.468470969611622859e+05
1.848000000000000000e+05,8.415780493015485117e+05
1.856000000000000000e+05,8.415780493015485117e+05
1.864000000000000000e+05,8.305197883135929005e+05
1.872000000000000000e+05,8.042569836921427632e+05
1.880000000000000000e+05,8.030543916734926170e+05
1.888000000000000000e+05,7.319524371187271317e+05
1.896000000000000000e+05,7.319524371187271317e+05
1.904000000000000000e+05,7.319524371187271317e+05
1.912000000000000000e+05,7.319524371187271317e+05
1.920000000000000000e+05,6.767788562940480188e+05
1.928000000000000000e+05,6.767788562940480188e+05
1.936000000000000000e+05,6.767788562940480188e+05
1.944000000000000000e+05,6.679890400990573689e+05
1.952000000000000000e+05,6.594331734049827792e+05
1.960000000000000000e+05,5.881911079524876550e+05
1.968000000000000000e+05,5.881911079524876550e+05
1.976000000000000000e+05,5.881911079524876550e+05
1.984000000000000000e+05,5.881911079524876550e+05
1.992000000000000000e+05,5.881911079524876550e+05
2.000000000000000000e+05,5.881911079524876550e+05
2.008000000000000000e+05,5.881911079524876550e+05
2.016000000000000000e+05,5.881911079524876550e+05
2.024000000000000000e+05,5.881911079524876550e+05
2.032000000000000000e+05,5.810725855064570205e+05
2.040000000000000000e+05,5.648892251588919898e+05
2.048000000000000000e+05,4.699983019332054537e+05
2.056000000000000000e+05,4.699983019332054537e+05
2.064000000000000000e+05,4.699983019332054537e+05
2.072000000000000000e+05,4.610065877556576743e+05
2.080000000000000000e+05,4.436825908540968667e+05
2.088000000000000000e+05,4.436825908540968667e+05
2.096000000000000000e+05,4.436825908540968667e+05
2.104000000000000000e+05,4.364451185770814191e+05
2.112000000000000000e+05,4.364451185770814191e+05
2.120000000000000000e+05,4.364451185770814191e+05
2.128000000000000000e+05,4.364451185770814191e+05
2.136000000000000000e+05,4.364451185770814191e+05
2.144000000000000000e+05,4.364451185770814191e+05
2.152000000000000000e+05,4.364451185770814191e+05
2.160000000000000000e+05,4.364451185770814191e+05
2.168000000000000000e+05,4.364451185770814191e+05
2.176000000000000000e+05,4.024460227174264728e+05
2.184000000000000000e+05,4.024460227174264728e+05
2.192000000000000000e+05,4.024460227174264728e+05
2.200000000000000000e+05,4.024460227174264728e+05
2.208000000000000000e+05,4.024460227174264728e+05
2.216000000000000000e+05,4.024460227174264728e+05
2.224000000000000000e+05,4.024460227174264728e+05
2.232000000000000000e+05,4.024460227174264728e+05
2.240000000000000000e+05,4.024460227174264728e+05
2.248000000000000000e+05,4.024460227174264728e+05
2.256000000000000000e+05,4.017344793351838598e+05
2.264000000000000000e+05,4.017344793351838598e+05
2.272000000000000000e+05,3.875663288166451384e+05
2.280000000000000000e+05,3.875432313369399635e+05
2.288000000000000000e+05,3.875432313369399635e+05
2.296000000000000000e+05,3.875432313369399635e+05
2.304000000000000000e+05,3.825445822697283584e+05
2.312000000000000000e+05,3.825445822697283584e+05
2.320000000000000000e+05,3.736423782099916134e+05
2.328000000000000000e+05,3.736423782099916134e+05
2.336000000000000000e+05,3.545279794700161438e+05
2.344000000000000000e+05,3.543535470071245800e+05
2.352000000000000000e+05,3.543535470071245800e+05
2.360000000000000000e+05,3.543535470071245800e+05
2.368000000000000000e+05,3.284854930737287505e+05
2.376000000000000000e+05,3.284854930737287505e+05
2.384000000000000000e+05,3.284854930737287505e+05
2.392000000000000000e+05,3.284854930737287505e+05
2.400000000000000000e+05,3.284854930737287505e+05
2.408000000000000000e+05,3.284854930737287505e+05
2.416000000000000000e+05,3.279257573372204206e+05
2.424000000000000000e+05,3.234474055898666265e+05
2.432000000000000000e+05,3.234474055898666265e+05
2.440000000000000000e+05,3.224296682213538443e+05
2.448000000000000000e+05,3.109768012125922833e+05
2.456000000000000000e+05,2.975525463433287805e+05
2.464000000000000000e+05,2.740305366954009514e+05
2.472000000000000000e+05,2.740305366954009514e+05
2.480000000000000000e+05,2.740305366954009514e+05
2.488000000000000000e+05,2.740305366954009514e+05
2.496000000000000000e+05,2.740305366954009514e+05
2.504000000000000000e+05,2.683140721226197784e+05
2.512000000000000000e+05,2.683140721226197784e+05
2.520000000000000000e+05,2.683140721226197784e+05
2.528000000000000000e+05,2.664191726021164213e+05
2.536000000000000000e+05,2.625512133472556598e+05
2.544000000000000000e+05,2.625512133472556598e+05
2.552000000000000000e+05,2.610734143217429519e+05
2.560000000000000000e+05,2.552534924039772886e+05
2.568000000000000000e+05,2.552534924039772886e+05
2.576000000000000000e+05,2.552534924039772886e+05
2.584000000000000000e+05,2.552534924039772886e+05
2.592000000000000000e+05,2.552534924039772886e+05
2.600000000000000000e+05,2.552534924039772886e+05
2.608000000000000000e+05,2.552534924039772886e+05
2.616000000000000000e+05,2.460276035990699602e+05
2.624000000000000000e+05,2.442489417432119371e+05
2.632000000000000000e+05,2.371775826707585657e+05
2.640000000000000000e+05,2.279686055284340982e+05
2.648000000000000000e+05,2.279686055284340982e+05
2.656000000000000000e+05,2.279686055284340982e+05
2.664000000000000000e+05,2.279686055284340982e+05
2.672000000000000000e+05,2.279686055284340982e+05
2.680000000000000000e+05,2.279686055284340982e+05
2.688000000000000000e+05,2.279686055284340982e+05
2.696000000000000000e+05,2.279686055284340982e+05
2.704000000000000000e+05,2.279686055284340982e+05
2.712000000000000000e+05,2.279686055284340982e+05
2.720000000000000000e+05,2.279686055284340982e+05
2.728000000000000000e+05,2.279686055284340982e+05
2.736000000000000000e+05,2.279686055284340982e+05
2.744000000000000000e+05,2.279686055284340982e+05
2.752000000000000000e+05,2.279686055284340982e+05
2.760000000000000000e+05,2.279686055284340982e+05
2.768000000000000000e+05,2.279686055284340982e+05
2.776000000000000000e+05,2.279686055284340982e+05
2.784000000000000000e+05,2.279686055284340982e+05
2.792000000000000000e+05,2.279686055284340982e+05
2.800000000000000000e+05,2.279686055284340982e+05
2.808000000000000000e+05,2.279686055284340982e+05
2.816000000000000000e+05,2.279686055284340982e+05
2.824000000000000000e+05,2.279686055284340982e+05
2.832000000000000000e+05,2.279686055284340982e+05
2.840000000000000000e+05,2.115268882334273076e+05
2.848000000000000000e+05,2.115268882334273076e+05
2.856000000000000000e+05,2.115268882334273076e+05
2.864000000000000000e+05,2.115268882334273076e+05
2.872000000000000000e+05,2.115268882334273076e+05
2.880000000000000000e+05,2.115268882334273076e+05
2.888000000000000000e+05,2.115268882334273076e+05
2.896000000000000000e+05,1.916646493722226296e+05
2.904000000000000000e+05,1.916646493722226296e+05
2.912000000000000000e+05,1.916646493722226296e+05
2.920000000000000000e+05,1.916646493722226296e+05
2.928000000000000000e+05,1.916646493722226296e+05
2.936000000000000000e+05,1.916646493722226296e+05
2.944000000000000000e+05,1.916646493722226296e+05
2.952000000000000000e+05,1.916646493722226296e+05
2.960000000000000000e+05,1.916646493722226296e+05
2.968000000000000000e+05,1.916646493722226296e+05
2.976000000000000000e+05,1.916646493722226296e+05
2.984000000000000000e+05,1.916646493722226296e+05
2.992000000000000000e+05,1.916646493722226296e+05
3.000000000000000000e+05,1.916646493722226296e+05
3.008000000000000000e+05,1.916646493722226296e+05
3.016000000000000000e+05,1.916646493722226296e+05
3.024000000000000000e+05,1.916646493722226296e+05
3.032000000000000000e+05,1.916646493722226296e+05
3.040000000000000000e+05,1.916646493722226296e+05
3.048000000000000000e+05,1.916646493722226296e+05
3.056000000000000000e+05,1.916646493722226296e+05
3.064000000000000000e+05,1.916646493722226296e+05
3.072000000000000000e+05,1.916646493722226296e+05
3.080000000000000000e+05,1.916646493722226296e+05
3.088000000000000000e+05,1.916646493722226296e+05
3.096000000000000000e+05,1.916646493722226296e+05
3.104000000000000000e+05,1.889773079149095574e+05
3.112000000000000000e+05,1.889773079149095574e+05
3.120000000000000000e+05,1.889773079149095574e+05
3.128000000000000000e+05,1.889773079149095574e+05
3.136000000000000000e+05,1.889773079149095574e+05
3.144000000000000000e+05,1.889773079149095574e+05
3.152000000000000000e+05,1.889773079149095574e+05
3.160000000000000000e+05,1.889773079149095574e+05
3.168000000000000000e+05,1.862553977399633150e+05
3.176000000000000000e+05,1.803058164845563297e+05
3.184000000000000000e+05,1.803058164845563297e+05
3.192000000000000000e+05,1.803058164845563297e+05
3.200000000000000000e+05,1.788336122616454668e+05
3.208000000000000000e+05,1.788336122616454668e+05
3.216000000000000000e+05,1.597573207193793787e+05
3.224000000000000000e+05,1.539349435054119967e+05
3.232000000000000000e+05,1.539349435054119967e+05
3.240000000000000000e+05,1.539349435054119967e+05
3.248000000000000000e+05,1.503848803682355792e+05
3.256000000000000000e+05,1.503848803682355792e+05
3.264000000000000000e+05,1.503848803682355792e+05
3.272000000000000000e+05,1.503848803682355792e+05
3.280000000000000000e+05,1.441154623748101585e+05
3.288000000000000000e+05,1.441154623748101585e+05
3.296000000000000000e+05,1.440165448346961348e+05
3.304000000000000000e+05,1.415982704710947582e+05
3.312000000000000000e+05,1.415982704710947582e+05
3.320000000000000000e+05,1.415982704710947582e+05
3.328000000000000000e+05,1.415982704710947582e+05
3.336000000000000000e+05,1.415982704710947582e+05
3.344000000000000000e+05,1.415982704710947582e+05
3.352000000000000000e+05,1.415982704710947582e+05
3.360000000000000000e+05,1.415982704710947582e+05
3.368000000000000000e+05,1.415982704710947582e+05
3.376000000000000000e+05,1.415982704710947582e+05
3.384000000000000000e+05,1.328861343509131984e+05
3.392000000000000000e+05,1.328861343509131984e+05
3.400000000000000000e+05,1.328861343509131984e+05
3.408000000000000000e+05,1.328861343509131984e+05
3.416000000000000000e+05,1.328861343509131984e+05
3.424000000000000000e+05,1.328861343509131984e+05
3.432000000000000000e+05,1.298809131927161798e+05
3.440000000000000000e+05,1.298809131927161798e+05
3.448000000000000000e+05,1.298809131927161798e+05
3.456000000000000000e+05,1.298809131927161798e+05
3.464000000000000000e+05,1.298809131927161798e+05
3.472000000000000000e+05,1.298809131927161798e+05
3.480000000000000000e+05,1.268042117604385567e+05
3.488000000000000000e+05,1.258319189773749240e+05
3.496000000000000000e+05,1.234234408303929085e+05
3.504000000000000000e+05,1.234234408303929085e+05
3.512000000000000000e+05,1.169043738529285911e+05
3.520000000000000000e+05,1.169043738529285911e+05
3.528000000000000000e+05,1.169043738529285911e+05
3.536000000000000000e+05,1.157935099383817578e+05
3.544000000000000000e+05,1.157935099383817578e+05
3.552000000000000000e+05,1.157935099383817578e+05
3.560000000000000000e+05,1.157935099383817578e+05
3.568000000000000000e+05,1.157935099383817578e+05
3.576000000000000000e+05,1.156693161616930156e+05
3.584000000000000000e+05,1.072898031083225069e+05
3.592000000000000000e+05,1.072898031083225069e+05
3.600000000000000000e+05,1.072898031083225069e+05
3.608000000000000000e+05,1.072898031083225069e+05
3.616000000000000000e+05,1.072898031083225069e+05
3.624000000000000000e+05,1.072898031083225069e+05
3.632000000000000000e+05,1.072898031083225069e+05
3.640000000000000000e+05,9.789582933926233090e+04
3.648000000000000000e+05,9.789582933926233090e+04
3.656000000000000000e+05,9.789582933926233090e+04
3.664000000000000000e+05,9.789582933926233090e+04
3.672000000000000000e+05,9.789582933926233090e+04
3.680000000000000000e+05,9.789582933926233090e+04
3.688000000000000000e+05,9.789582933926233090e+04
3.696000000000000000e+05,9.789582933926233090e+04
3.704000000000000000e+05,9.483342705077244318e+04
3.712000000000000000e+05,9.483342705077244318e+04
3.720000000000000000e+05,9.483342705077244318e+04
3.728000000000000000e+05,9.446717640212715196e+04
3.736000000000000000e+05,9.446717640212715196e+04
3.744000000000000000e+05,9.446717640212715196e+04
3.752000000000000000e+05,8.973117982568310981e+04
3.760000000000000000e+05,8.973117982568310981e+04
3.768000000000000000e+05,8.973117982568310981e+04
3.776000000000000000e+05,8.973117982568310981e+04
3.784000000000000000e+05,8.973117982568310981e+04
3.792000000000000000e+05,8.973117982568310981e+04
