func_calls,mean_distances,grad_c_distances,pc_c_distances
4.000000000000000000e+02,3.061153658866768410e+02,2.705658662245490973e+02,nan
8.000000000000000000e+02,3.052866684737150536e+02,2.709437855220407982e+02,nan
1.200000000000000000e+03,3.043165721984710217e+02,2.721386311383809584e+02,nan
1.600000000000000000e+03,3.025631637949101673e+02,2.719989498435561472e+02,nan
2.000000000000000000e+03,2.996860095495012501e+02,2.714140451983550975e+02,nan
2.400000000000000000e+03,2.962442332975813883e+02,2.729389054859960311e+02,nan
2.800000000000000000e+03,2.875349635969343467e+02,2.690001441965977165e+02,nan
3.200000000000000000e+03,2.788055606284628425e+02,2.666801922983784152e+02,nan
3.600000000000000000e+03,2.721426187167918442e+02,2.647445813136969264e+02,nan
4.000000000000000000e+03,2.672018041403509869e+02,2.595862780381895618e+02,nan
4.400000000000000000e+03,2.683202978758996551e+02,2.602014749002007648e+02,2.653722476095765614e+02
4.800000000000000000e+03,2.734702797314434974e+02,2.684432437483320086e+02,2.646255710596669815e+02
5.200000000000000000e+03,2.849255078926070155e+02,2.795438150194889886e+02,2.650044187778040055e+02
5.600000000000000000e+03,2.949198629485734955e+02,2.857426407435631859e+02,2.647563371522116427e+02
6.000000000000000000e+03,2.819798803755805920e+02,2.751541936413076428e+02,2.612475821178691717e+02
6.400000000000000000e+03,2.883202231141773950e+02,2.831427500153179153e+02,2.610688579713410036e+02
6.800000000000000000e+03,2.945627508479765879e+02,2.880664146712551315e+02,2.610154885824596818e+02
7.200000000000000000e+03,2.907522672498644738e+02,2.812313251342196168e+02,2.608223185299552824e+02
7.600000000000000000e+03,2.922629586303235101e+02,2.870037171386539399e+02,2.603075209210707612e+02
8.000000000000000000e+03,2.916326983725043647e+02,2.849657253299232593e+02,2.595594550117231734e+02
8.400000000000000000e+03,2.868118670612986989e+02,2.790071502593436321e+02,2.587725943807781164e+02
8.800000000000000000e+03,2.918265281282231740e+02,2.847042467633741580e+02,2.574749064419225419e+02
9.200000000000000000e+03,2.885743580623893081e+02,2.802669009132726501e+02,2.575230097038669328e+02
9.600000000000000000e+03,2.959918271273932078e+02,2.891249286121152977e+02,2.575577231043880602e+02
1.000000000000000000e+04,2.999773834965052970e+02,2.942775936351748669e+02,2.578504189562062834e+02
1.040000000000000000e+04,2.921553221416707515e+02,2.878559185097831232e+02,2.574946521378582815e+02
1.080000000000000000e+04,2.929446090279256509e+02,2.876374274262036010e+02,2.574808296516483779e+02
1.120000000000000000e+04,2.900548581931266767e+02,2.846291498144181560e+02,2.566246088420479055e+02
1.160000000000000000e+04,3.002888938478092768e+02,2.943419127683325200e+02,2.562865427455707845e+02
