func_calls,golden_step_size,regular_step_size
6.700000000000000000e+01,8.704751295610508421e+00,2.500694485299252978e+00
6.500000000000000000e+01,6.985388072953036875e+00,4.962703850930942906e+00
6.100000000000000000e+01,7.082596569774566753e+00,6.813947727557351230e-01
5.700000000000000000e+01,4.878727176796346932e+00,3.680582416211837238e+00
5.600000000000000000e+01,3.521676513436865275e+00,2.085204219111443713e+00
5.400000000000000000e+01,1.540843859091039603e+00,8.900403189975857332e-01
5.200000000000000000e+01,1.380093932693392311e+00,1.944880197231670382e-01
5.000000000000000000e+01,9.437345595232519146e-01,2.197525226389648312e-01
4.800000000000000000e+01,3.794954124770016923e-01,7.017009870211246003e-01
4.800000000000000000e+01,3.717200021121501718e-01,4.220092059067504647e-02
4.700000000000000000e+01,7.271651466699431410e-01,3.558262923325252597e-02
4.500000000000000000e+01,1.655293832874673576e+00,3.002777055946964386e-03
4.300000000000000000e+01,2.949590786942307918e+00,4.629413542155281364e-03
4.100000000000000000e+01,7.891655163714171195e+00,5.128595612287340086e-04
4.300000000000000000e+01,1.479362245734645676e+01,1.076916216639079696e-04
4.300000000000000000e+01,3.542947391468545959e+01,3.854577835199299730e-05
4.300000000000000000e+01,7.006564188885887745e+01,1.145001642414104616e-05
4.300000000000000000e+01,1.212749455976136943e+02,9.022569010144046047e-07
4.300000000000000000e+01,3.110750004562417530e+02,3.632752127216466636e-07
4.000000000000000000e+01,6.960012553284767591e+02,7.292999000136666982e-08
4.200000000000000000e+01,1.142319099515363177e+03,4.003484696864223978e-08
